epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,1465.81,0.61172,0.9397,0.53072,0.00535,0.1202,0.67454,0.66009,0.65615,0.56513,0.67352,0.65908,0.65341,0.51291,0.58768,1.01074,0.74183,0.00915,0,0.000227624,0.000227624,0.000227624
39,1504.39,0.60728,0.93643,0.51933,0.00532,0.12147,0.68434,0.68942,0.67508,0.5702,0.68383,0.68888,0.67301,0.52043,0.60294,1.04234,0.71471,0.00932,0,0.000222965,0.000222965,0.000222965
40,1543.07,0.59236,0.91111,0.50424,0.00519,0.11916,0.6534,0.67168,0.65552,0.57526,0.65321,0.67159,0.65404,0.51541,0.57804,1.02558,0.7843,0.00899,0,0.000218306,0.000218306,0.000218306
41,1581.6,0.60453,0.93938,0.50543,0.00522,0.11313,0.65555,0.61997,0.65531,0.56347,0.65401,0.6185,0.65171,0.50813,0.58164,1.03768,0.74185,0.009,0,0.000213647,0.000213647,0.000213647
42,1620.08,0.6003,0.92154,0.51491,0.00528,0.11885,0.68071,0.62001,0.66303,0.56879,0.6803,0.61962,0.66303,0.52683,0.59201,1.03566,0.72205,0.00918,0,0.000208988,0.000208988,0.000208988
43,1658.35,0.59757,0.92355,0.50047,0.00512,0.11147,0.84281,0.64195,0.67427,0.57725,0.84248,0.64053,0.6707,0.53234,0.59289,1.02881,0.74436,0.00912,0,0.000204329,0.000204329,0.000204329
44,1696.64,0.5974,0.9256,0.48892,0.00514,0.11282,0.63356,0.65643,0.64467,0.54946,0.63278,0.65559,0.64227,0.49997,0.59197,1.03877,0.72381,0.00905,0,0.000199671,0.000199671,0.000199671
45,1734.96,0.58936,0.91042,0.47996,0.00507,0.11152,0.64713,0.72678,0.66411,0.57333,0.6469,0.72649,0.66226,0.52102,0.57955,1.04661,0.73007,0.00884,0,0.000195012,0.000195012,0.000195012
46,1773.34,0.59171,0.92645,0.48189,0.00511,0.11044,0.63199,0.68675,0.6472,0.54847,0.63139,0.68612,0.6449,0.50865,0.58399,1.02594,0.74633,0.00899,0,0.000190353,0.000190353,0.000190353
47,1812.26,0.58782,0.91393,0.47595,0.00508,0.10956,0.68029,0.68675,0.68789,0.59276,0.679,0.68549,0.68625,0.53849,0.57947,1.0063,0.7339,0.00886,0,0.000185694,0.000185694,0.000185694
48,1851.04,0.58514,0.92169,0.47385,0.00499,0.10813,0.68618,0.64008,0.64316,0.55173,0.68436,0.63831,0.64067,0.49993,0.57368,1.0364,0.77513,0.00874,0,0.000181035,0.000181035,0.000181035
49,1890.04,0.58129,0.90842,0.45899,0.00495,0.10508,0.6924,0.6487,0.65583,0.56935,0.69106,0.64774,0.65384,0.50818,0.57886,1.03921,0.77989,0.00892,0,0.000176376,0.000176376,0.000176376
50,1928.8,0.57967,0.91174,0.45337,0.00501,0.10849,0.66503,0.65176,0.64026,0.55266,0.66441,0.65113,0.63901,0.50493,0.58189,1.07251,0.80453,0.00884,0,0.000171718,0.000171718,0.000171718
51,1967.81,0.58542,0.8908,0.45711,0.00503,0.10639,0.6736,0.64726,0.67538,0.5766,0.67319,0.64688,0.67338,0.52199,0.57872,1.05006,0.77252,0.00894,0,0.000167059,0.000167059,0.000167059
52,2006.6,0.57313,0.89475,0.44889,0.00494,0.10642,0.68124,0.64246,0.66,0.56902,0.68058,0.64183,0.65891,0.51914,0.58283,1.03066,0.78947,0.00892,0,0.0001624,0.0001624,0.0001624
53,2045.28,0.56615,0.88956,0.45042,0.00486,0.10402,0.64927,0.68112,0.63727,0.54971,0.64888,0.6807,0.63647,0.49345,0.57567,1.03273,0.7706,0.0087,0,0.000157741,0.000157741,0.000157741
54,2084.19,0.57123,0.88682,0.43881,0.00494,0.10177,0.65759,0.67991,0.65666,0.5679,0.657,0.67928,0.6548,0.52265,0.58057,1.05194,0.77961,0.00891,0,0.000153082,0.000153082,0.000153082
55,2122.69,0.57021,0.88264,0.44216,0.0049,0.10128,0.61741,0.71354,0.64982,0.54776,0.61692,0.71521,0.64819,0.50813,0.58818,1.03614,0.77488,0.00909,0,0.000148424,0.000148424,0.000148424
56,2161.31,0.56,0.87602,0.43313,0.00479,0.09735,0.69625,0.67428,0.68037,0.57736,0.69544,0.67344,0.67889,0.52679,0.58471,1.06082,0.75917,0.009,0,0.000143765,0.000143765,0.000143765
57,2199.92,0.56371,0.87995,0.43024,0.00485,0.09416,0.67921,0.70323,0.67231,0.57537,0.67839,0.70239,0.67061,0.52911,0.57581,1.06841,0.77166,0.00887,0,0.000139106,0.000139106,0.000139106
58,2238.3,0.55383,0.87253,0.41907,0.00482,0.09241,0.70244,0.67331,0.67227,0.58124,0.70177,0.67268,0.66967,0.53106,0.57602,1.04795,0.76363,0.00886,0,0.000134447,0.000134447,0.000134447
59,2276.69,0.55971,0.87766,0.43373,0.0047,0.09354,0.68431,0.65865,0.64919,0.55941,0.68366,0.65802,0.64715,0.51395,0.57362,1.07665,0.78919,0.00876,0,0.000129788,0.000129788,0.000129788
60,2315.02,0.55217,0.87728,0.42744,0.00464,0.09252,0.69962,0.67867,0.66302,0.57189,0.69879,0.67783,0.66013,0.52267,0.58476,1.0346,0.77131,0.00901,0,0.000125129,0.000125129,0.000125129
61,2353.92,0.55613,0.88733,0.41127,0.0047,0.0922,0.74163,0.63716,0.66946,0.57386,0.74095,0.63653,0.66767,0.53194,0.58525,1.06606,0.74989,0.00899,0,0.000120471,0.000120471,0.000120471
62,2392.59,0.54942,0.87196,0.41509,0.00463,0.09045,0.6793,0.68069,0.66445,0.57857,0.67847,0.67985,0.66182,0.52273,0.57304,1.0518,0.75756,0.00868,0,0.000115812,0.000115812,0.000115812
63,2431.22,0.55259,0.87847,0.40692,0.00461,0.08907,0.70128,0.66544,0.66154,0.56929,0.70084,0.66502,0.66009,0.52378,0.57836,1.08143,0.75955,0.00893,0,0.000111153,0.000111153,0.000111153
64,2469.62,0.53916,0.84907,0.39817,0.00459,0.08797,0.66662,0.6954,0.66545,0.5777,0.66662,0.6956,0.66395,0.52116,0.57859,1.07415,0.77725,0.00892,0,0.000106494,0.000106494,0.000106494
65,2508.63,0.54346,0.86405,0.41699,0.00468,0.09294,0.69172,0.685,0.67699,0.58753,0.69083,0.68416,0.67459,0.53311,0.57607,1.07027,0.76037,0.00881,0,0.000101835,0.000101835,0.000101835
66,2547.46,0.54605,0.86588,0.40846,0.0045,0.08573,0.68613,0.68843,0.66563,0.58053,0.68549,0.6878,0.66379,0.53014,0.57581,1.05756,0.76948,0.00876,0,9.71765e-05,9.71765e-05,9.71765e-05
67,2586.34,0.54821,0.85805,0.40201,0.00461,0.08696,0.64847,0.69497,0.65139,0.56477,0.6475,0.69492,0.65043,0.51898,0.57466,1.09243,0.78053,0.00888,0,9.25176e-05,9.25176e-05,9.25176e-05
68,2625.31,0.53553,0.85751,0.39868,0.00452,0.08679,0.69612,0.6433,0.66701,0.58158,0.69484,0.64279,0.66498,0.53294,0.5752,1.06752,0.76586,0.00882,0,8.78588e-05,8.78588e-05,8.78588e-05
69,2664.3,0.53702,0.86329,0.39853,0.00449,0.0858,0.67182,0.66604,0.68088,0.59188,0.67074,0.66499,0.67861,0.54483,0.57863,1.05686,0.75174,0.00892,0,8.32e-05,8.32e-05,8.32e-05
70,2702.97,0.53565,0.84958,0.38786,0.00453,0.0831,0.64349,0.69439,0.6866,0.60099,0.64291,0.69376,0.68547,0.55157,0.56758,1.07451,0.75843,0.00865,0,7.85412e-05,7.85412e-05,7.85412e-05
71,2741.71,0.52577,0.83565,0.38802,0.00435,0.08451,0.65425,0.70551,0.67628,0.59161,0.6545,0.7022,0.67341,0.53893,0.56169,1.0564,0.78863,0.00857,0,7.38824e-05,7.38824e-05,7.38824e-05
72,2780.59,0.53492,0.83502,0.37731,0.00446,0.07991,0.72243,0.66143,0.68379,0.59827,0.72152,0.66059,0.68179,0.54633,0.56413,1.07454,0.77076,0.0086,0,6.92235e-05,6.92235e-05,6.92235e-05
73,2819.04,0.52484,0.8333,0.38559,0.00445,0.08248,0.69751,0.68871,0.68714,0.60215,0.69667,0.68787,0.68465,0.54555,0.56291,1.08066,0.75723,0.00857,0,6.45647e-05,6.45647e-05,6.45647e-05
74,2857.55,0.53315,0.84658,0.39211,0.00449,0.08521,0.69505,0.67906,0.68839,0.60036,0.69404,0.67829,0.68643,0.54184,0.56547,1.09078,0.76505,0.00867,0,5.99059e-05,5.99059e-05,5.99059e-05
75,2896.1,0.52657,0.85364,0.38273,0.00438,0.08296,0.68905,0.67491,0.6832,0.59327,0.68808,0.67421,0.68119,0.54139,0.56854,1.08843,0.76225,0.00869,0,5.52471e-05,5.52471e-05,5.52471e-05
76,2935.35,0.46341,0.7425,0.27418,0.00538,0.04813,0.6441,0.66933,0.657,0.56704,0.64268,0.66823,0.65469,0.51852,0.57742,1.07966,0.82226,0.00887,0,5.05882e-05,5.05882e-05,5.05882e-05
77,2973.01,0.44207,0.71409,0.24143,0.00498,0.04056,0.66858,0.69046,0.68349,0.59502,0.6675,0.68932,0.6824,0.53876,0.57572,1.08299,0.80242,0.0089,0,4.59294e-05,4.59294e-05,4.59294e-05
78,3010.57,0.44153,0.71215,0.2369,0.00501,0.0399,0.65679,0.65569,0.6657,0.57915,0.65554,0.65434,0.66416,0.52179,0.57406,1.08094,0.79645,0.00885,0,4.12706e-05,4.12706e-05,4.12706e-05
79,3047.84,0.43877,0.71216,0.22982,0.0051,0.038,0.68208,0.65843,0.67533,0.58675,0.69536,0.64722,0.67422,0.52904,0.56839,1.08205,0.78996,0.00874,0,3.66118e-05,3.66118e-05,3.66118e-05
80,3085.41,0.43227,0.70573,0.22248,0.00501,0.03871,0.65796,0.68087,0.67637,0.58868,0.65688,0.67973,0.6751,0.53059,0.56919,1.08054,0.78703,0.00879,0,3.19529e-05,3.19529e-05,3.19529e-05
81,3122.7,0.43118,0.70679,0.23284,0.0049,0.03844,0.65166,0.69565,0.67386,0.58588,0.65061,0.69451,0.67215,0.52712,0.56544,1.08964,0.79449,0.0087,0,2.72941e-05,2.72941e-05,2.72941e-05
82,3160.04,0.43071,0.70576,0.2312,0.00494,0.03762,0.69466,0.65628,0.67515,0.58598,0.6942,0.65585,0.6739,0.53191,0.56484,1.0938,0.78653,0.0087,0,2.26353e-05,2.26353e-05,2.26353e-05
83,3197.52,0.42612,0.6987,0.22141,0.00484,0.0373,0.71137,0.63936,0.67673,0.58765,0.71065,0.63873,0.67518,0.53414,0.56649,1.08852,0.78934,0.0087,0,1.79765e-05,1.79765e-05,1.79765e-05
84,3234.71,0.42924,0.69628,0.23519,0.00488,0.03816,0.70627,0.63841,0.67576,0.5872,0.70544,0.63804,0.6744,0.53254,0.56701,1.09926,0.78726,0.00872,0,1.33176e-05,1.33176e-05,1.33176e-05
85,3271.92,0.42258,0.69457,0.22364,0.00481,0.03749,0.71196,0.64241,0.67349,0.58639,0.71148,0.64199,0.67189,0.53166,0.56501,1.09706,0.79058,0.00868,0,8.65882e-06,8.65882e-06,8.65882e-06
