epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
126,3680.23,0.71249,1.49649,0.51717,1.05136,0,0.66437,0.51628,0.49227,0.39276,0.65275,0.49324,0.45991,0.29795,1.04767,2.68466,1.02075,1.41403,0,7e-05,7e-05,7e-05
127,3709.49,0.70199,1.47845,0.52026,1.04933,0,0.65712,0.52388,0.49433,0.39156,0.63877,0.50221,0.46316,0.29815,1.04644,2.74015,1.02407,1.42128,0,6.736e-05,6.736e-05,6.736e-05
128,3738.69,0.69871,1.49385,0.51272,1.04553,0,0.60237,0.51484,0.49255,0.3884,0.65934,0.48681,0.46108,0.29967,1.0401,2.70705,1.01674,1.41491,0,6.472e-05,6.472e-05,6.472e-05
129,3767.98,0.70178,1.48486,0.51365,1.04409,0,0.6775,0.50163,0.48421,0.37978,0.66178,0.48033,0.45227,0.29357,1.04871,2.74967,1.03779,1.42684,0,6.208e-05,6.208e-05,6.208e-05
130,3797.04,0.69359,1.47094,0.51468,1.04276,0,0.66851,0.5002,0.47443,0.37008,0.64611,0.48275,0.44315,0.28758,1.04864,2.72809,1.02866,1.42774,0,5.944e-05,5.944e-05,5.944e-05
131,3826.07,0.69391,1.4624,0.50613,1.04311,0,0.65623,0.50599,0.48169,0.37433,0.63963,0.489,0.4495,0.2906,1.04842,2.69861,1.03859,1.42352,0,5.68e-05,5.68e-05,5.68e-05
132,3855.18,0.6996,1.47811,0.51021,1.04401,0,0.68772,0.49877,0.48349,0.3824,0.66315,0.48204,0.45027,0.29311,1.04278,2.73513,1.02549,1.42002,0,5.416e-05,5.416e-05,5.416e-05
133,3884.3,0.69365,1.48467,0.50782,1.04225,0,0.66574,0.5052,0.48535,0.38425,0.64634,0.4862,0.45111,0.29645,1.04351,2.73992,1.03532,1.41998,0,5.152e-05,5.152e-05,5.152e-05
134,3913.48,0.69281,1.47267,0.50589,1.04367,0,0.67487,0.49719,0.48721,0.38544,0.65713,0.48028,0.4549,0.30041,1.04343,2.71909,1.02462,1.41413,0,4.888e-05,4.888e-05,4.888e-05
135,3942.46,0.69161,1.45673,0.50152,1.03791,0,0.65807,0.51325,0.48587,0.38391,0.6397,0.49443,0.45188,0.29682,1.04527,2.74878,1.03009,1.4159,0,4.624e-05,4.624e-05,4.624e-05
136,3971.64,0.68999,1.46022,0.49965,1.04096,0,0.67108,0.50955,0.48941,0.38676,0.66434,0.48584,0.45628,0.30032,1.04218,2.73324,1.02067,1.41421,0,4.36e-05,4.36e-05,4.36e-05
137,4000.67,0.69288,1.46564,0.49946,1.04196,0,0.69036,0.49593,0.4894,0.38524,0.67379,0.47711,0.45492,0.29948,1.04547,2.75272,1.01719,1.42365,0,4.096e-05,4.096e-05,4.096e-05
138,4029.66,0.68722,1.44557,0.49777,1.03938,0,0.67898,0.50384,0.4896,0.38753,0.66064,0.48547,0.45805,0.29984,1.04316,2.75513,1.02362,1.41755,0,3.832e-05,3.832e-05,3.832e-05
139,4058.83,0.68207,1.45178,0.49185,1.0351,0,0.67524,0.51156,0.49371,0.38739,0.65532,0.49135,0.45915,0.29779,1.04294,2.75247,1.01663,1.41784,0,3.568e-05,3.568e-05,3.568e-05
140,4088,0.68794,1.44957,0.49639,1.04184,0,0.66913,0.50766,0.49472,0.38913,0.64676,0.49495,0.46162,0.30035,1.04955,2.76512,1.01253,1.4269,0,3.304e-05,3.304e-05,3.304e-05
141,4118.3,0.68111,1.34222,0.44454,1.07892,0,0.67595,0.49171,0.48971,0.38367,0.65593,0.47127,0.45515,0.2937,1.06049,2.81635,1.01291,1.45062,0,3.04e-05,3.04e-05,3.04e-05
142,4147,0.65576,1.30503,0.42088,1.06382,0,0.67279,0.49451,0.49264,0.38367,0.65552,0.47492,0.45947,0.29436,1.05802,2.81096,1.01767,1.44616,0,2.776e-05,2.776e-05,2.776e-05
143,4175.64,0.63885,1.2651,0.41192,1.04965,0,0.67623,0.48812,0.48769,0.38725,0.6634,0.47084,0.45689,0.29744,1.05175,2.82196,1.01822,1.43934,0,2.512e-05,2.512e-05,2.512e-05
144,4204.4,0.63944,1.26979,0.40889,1.05273,0,0.68051,0.47419,0.4876,0.38938,0.66935,0.45931,0.45538,0.2963,1.05151,2.83466,1.02382,1.43964,0,2.248e-05,2.248e-05,2.248e-05
145,4232.91,0.63455,1.26029,0.40606,1.05078,0,0.71414,0.46506,0.48946,0.38869,0.69563,0.44952,0.45814,0.29615,1.0507,2.82716,1.02265,1.43989,0,1.984e-05,1.984e-05,1.984e-05
146,4261.73,0.63038,1.24452,0.39852,1.04572,0,0.66462,0.51049,0.49015,0.38803,0.64671,0.49127,0.45722,0.29622,1.05065,2.83287,1.02602,1.44085,0,1.72e-05,1.72e-05,1.72e-05
147,4290.36,0.62765,1.24716,0.40259,1.04376,0,0.67192,0.51184,0.49153,0.39337,0.65816,0.48243,0.45823,0.29655,1.05136,2.8427,1.02529,1.44407,0,1.456e-05,1.456e-05,1.456e-05
148,4318.99,0.62236,1.2418,0.40033,1.04407,0,0.6735,0.50401,0.4908,0.39308,0.65571,0.48644,0.45823,0.29727,1.05052,2.84916,1.02816,1.4451,0,1.192e-05,1.192e-05,1.192e-05
149,4347.73,0.62787,1.24552,0.39987,1.04599,0,0.67111,0.51083,0.48764,0.38909,0.65326,0.49158,0.45512,0.29551,1.0502,2.8545,1.02631,1.44512,0,9.28e-06,9.28e-06,9.28e-06
150,4376.65,0.6182,1.22173,0.39568,1.03627,0,0.60312,0.51119,0.48823,0.38989,0.64453,0.4896,0.4559,0.29607,1.05003,2.85843,1.02566,1.44449,0,6.64e-06,6.64e-06,6.64e-06
